Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Mbeumo,MID,8.0,77,77,73,62,67,70,349,8.7,15.8%
Sels,GK,5.0,94,94,91,91,93,91,460,18.4,20.2%
Richards,DEF,4.5,88,88,85,84,83,79,419,18.6,1.6%
Vicario,GK,5.0,92,92,93,91,91,90,457,18.3,3.6%
Pickford,GK,5.5,93,93,93,91,92,93,462,16.8,12.0%
Szoboszlai,MID,6.5,67,67,54,55,53,57,286,8.8,2.0%
Branthwaite,DEF,5.5,90,90,88,88,83,85,434,15.8,1.9%
Guéhi,DEF,4.5,92,92,90,87,87,85,441,19.6,13.4%
Leno,GK,5.0,92,92,93,92,91,90,458,18.3,1.7%
Collins,DEF,5.0,91,91,87,85,84,83,430,17.2,1.9%
Reijnders,MID,5.5,77,77,71,69,67,69,353,12.8,12.3%
Petrović,GK,4.5,94,94,93,93,90,89,459,20.4,3.7%
Tonali,MID,5.5,88,88,88,83,80,77,416,15.1,2.1%
Wan-Bissaka,DEF,4.5,92,92,86,82,86,85,431,19.2,29.2%
Verbruggen,GK,4.5,93,93,93,92,90,91,459,20.4,7.9%
Füllkrug,FWD,6.0,75,75,70,63,62,58,328,10.9,3.2%
Romero,DEF,5.0,89,89,86,85,82,82,424,17.0,2.1%
Schär,DEF,5.5,86,86,84,78,71,70,389,14.1,2.4%
Gomes,MID,5.5,86,86,85,81,84,79,415,15.1,0.1%
Aït-Nouri,DEF,6.0,74,74,64,62,58,62,320,10.7,21.5%
Konsa,DEF,4.5,90,90,87,88,84,81,430,19.1,24.3%
Anthony,MID,5.5,73,73,71,72,70,65,351,12.8,0.1%
Baleba,MID,5.0,88,88,82,82,79,79,410,16.4,5.1%
Gana,MID,5.5,89,89,82,83,79,80,413,15.0,0.1%
Adingra,MID,5.5,80,80,76,75,70,66,367,13.3,2.0%
Kilman,DEF,4.5,86,86,85,82,81,80,414,18.4,0.4%
Malen,MID,5.5,66,66,58,48,49,47,268,9.7,2.7%
Henderson,GK,5.0,89,89,89,85,84,85,432,17.3,6.0%
José Sá,GK,4.5,93,93,92,92,92,91,460,20.4,2.3%
Van den Berg,DEF,4.5,90,90,86,86,82,83,427,19.0,0.4%
Roefs,GK,4.5,91,91,91,91,92,91,456,20.3,0.2%
Perri,GK,4.5,90,90,92,91,91,89,453,20.1,0.3%
Cash,DEF,4.5,81,81,75,72,74,76,378,16.8,1.8%
Kelleher,GK,4.5,94,71,92,89,90,92,434,19.3,19.3%
Estève,DEF,4.0,92,92,91,87,88,85,443,22.1,17.4%
Senesi,DEF,4.5,84,84,81,79,77,77,398,17.7,0.6%
Tavernier,MID,5.5,67,67,65,61,58,61,312,11.3,0.4%
Pope,GK,5.0,88,88,84,86,81,79,418,16.7,3.6%
Agbadou,DEF,4.5,89,89,90,87,85,79,430,19.1,0.3%
Wharton,MID,5.0,76,76,71,68,68,70,353,14.1,0.6%
Welbeck,FWD,6.5,44,44,54,56,55,55,264,8.1,5.8%
Aina,DEF,5.0,90,90,89,81,81,78,419,16.8,16.7%
Zubimendi,MID,5.5,79,79,74,74,72,79,378,13.7,2.1%
Hudson-Odoi,MID,6.0,74,74,68,69,69,65,345,11.5,1.5%
Hall,DEF,5.5,68,68,79,81,79,75,382,13.9,2.4%
Barnes,MID,6.5,64,64,59,61,42,40,266,8.2,0.6%
Šeško,FWD,7.5,49,49,58,65,67,65,304,8.1,5.1%
Mitchell,DEF,5.0,75,75,76,74,71,73,369,14.8,1.2%
Gvardiol,DEF,6.0,49,49,65,73,73,73,333,11.1,16.8%
Dewsbury-Hall,MID,5.0,70,70,69,63,62,67,331,13.2,3.1%
Van Hecke,DEF,4.5,91,91,85,85,86,81,428,19.0,1.3%
Onana,GK,5.0,94,47,86,90,93,93,409,16.4,0.1%
Dorgu,DEF,4.5,84,84,78,73,76,73,384,17.1,6.4%
Elanga,MID,7.0,62,62,61,63,52,47,285,8.1,9.2%
Carvalho,MID,5.0,60,60,56,56,54,49,275,11.0,0.3%
Kerkez,DEF,6.0,68,68,64,62,65,64,323,10.8,8.2%
James,DEF,5.5,68,68,64,61,60,50,303,11.0,4.9%
Rúben,DEF,5.5,78,78,78,73,71,65,365,13.3,2.7%
Kluivert,MID,7.0,38,19,49,60,58,64,250,7.1,2.7%
Lukić,MID,5.0,83,83,82,78,73,69,385,15.4,0.1%
Xhaka,MID,5.0,89,89,86,83,82,83,423,16.9,2.6%
Kamara,MID,5.0,85,85,78,75,76,72,386,15.4,0.2%
Truffert,DEF,4.5,93,93,85,81,82,84,425,18.9,1.0%
O'Brien,DEF,5.0,88,88,85,83,83,82,421,16.8,0.5%
Bassey,DEF,4.5,90,90,89,84,83,82,428,19.0,0.5%
Stach,MID,5.0,77,77,74,73,70,74,368,14.7,0.3%
Bernardo,MID,6.5,71,71,65,62,62,52,312,9.6,0.7%
Bentancur,MID,5.5,78,78,71,70,69,69,357,13.0,0.1%
André,MID,5.5,84,84,84,84,81,75,408,14.8,0.1%
Tel,MID,6.5,55,55,48,50,45,44,242,7.4,0.2%
Diouf,DEF,4.5,70,70,71,68,63,62,334,14.8,6.1%
James,MID,5.5,67,67,62,64,61,62,316,11.5,0.6%
Martinez,GK,5.0,0,0,94,91,90,90,365,14.6,0.5%
Van de Ven,DEF,4.5,85,85,86,82,81,82,416,18.5,22.4%
Grealish,MID,6.5,57,57,59,67,66,66,315,9.7,2.1%
Cullen,MID,5.0,89,89,81,82,82,82,416,16.6,0.1%
Dúbravka,GK,4.0,53,40,92,92,88,88,400,20.0,28.4%
De Ligt,DEF,5.0,83,83,79,76,82,74,394,15.8,1.3%
Ward-Prowse,MID,6.0,63,63,66,62,63,60,314,10.5,0.4%
Todibo,DEF,4.5,78,78,77,73,76,72,376,16.7,0.1%
Raúl,FWD,6.5,52,52,49,49,46,47,243,7.5,2.3%
Muniz,FWD,5.5,57,57,47,50,50,51,255,9.3,2.2%
Edwards,MID,5.0,63,63,64,63,58,55,303,12.1,0.1%
Ndoye,MID,6.0,58,58,61,60,62,59,300,10.0,0.3%
N.Aguerd,DEF,4.5,72,72,75,69,73,68,357,15.9,0.1%
Diakité,DEF,4.5,47,47,88,82,83,83,383,17.0,0.0%
Toti,DEF,4.5,91,91,87,87,82,85,432,19.2,0.2%
Lewis-Skelly,DEF,5.5,72,72,67,59,56,61,315,11.5,4.7%
Lewis-Potter,DEF,5.0,63,63,61,62,57,56,299,12.0,0.5%
Pau,DEF,4.5,79,79,70,69,68,71,357,15.9,0.5%
E.Le Fée,MID,5.0,66,66,62,67,66,63,324,13.0,0.6%
Garner,MID,5.0,73,73,71,74,73,66,357,14.3,0.1%
P.M.Sarr,MID,5.0,63,63,64,59,62,55,303,12.1,2.2%
McGinn,MID,5.5,57,57,53,53,53,52,268,9.7,0.7%
Rodon,DEF,4.0,92,92,84,84,85,81,426,21.3,1.7%
Mykolenko,DEF,5.0,61,46,85,80,80,79,370,14.8,2.3%
Hume,DEF,4.5,90,90,82,83,83,81,419,18.6,0.2%
Tete,DEF,4.5,74,74,66,64,65,60,329,14.6,0.2%
De Cuyper,DEF,4.5,74,74,69,67,66,64,340,15.1,7.2%
Ballard,DEF,4.5,89,89,86,85,70,68,398,17.7,0.2%
Gudmundsson,DEF,4.0,85,85,78,76,74,71,384,19.2,2.6%
Hannibal,MID,5.0,73,73,65,62,61,64,325,13.0,0.2%
Flemming,FWD,5.5,52,52,55,53,51,51,262,9.5,0.2%
Livramento,DEF,5.0,76,76,72,69,68,66,351,14.0,4.0%
Barry,FWD,6.0,51,51,53,51,50,49,254,8.5,0.9%
Guessand,MID,6.5,39,39,39,45,42,47,212,6.5,0.1%
Bogle,DEF,4.5,90,68,84,79,76,78,385,17.1,0.4%
Diarra,MID,5.5,71,71,66,64,69,63,333,12.1,0.1%
Hermansen,GK,4.5,46,46,66,83,77,79,351,15.6,0.2%
Foden,MID,8.0,30,23,41,48,46,40,198,5.0,1.9%
Martinelli,MID,7.0,58,58,43,34,35,33,203,5.8,1.5%
Yoro,DEF,4.5,75,75,72,72,74,67,360,16.0,1.4%
Christie,MID,5.0,58,44,67,60,55,58,284,11.4,0.3%
J.Palhinha,MID,5.5,72,72,69,69,68,61,339,12.3,0.3%
Walker,DEF,4.5,87,87,85,78,80,80,410,18.2,2.0%
Talbi,MID,5.0,63,63,59,56,54,56,288,11.5,0.2%
Amad,MID,6.5,57,57,53,54,54,49,267,8.2,3.4%
Gravenberch,MID,5.5,0,0,80,75,75,74,304,11.1,0.1%
Richarlison,FWD,6.5,53,53,45,36,39,39,212,6.5,1.1%
Doherty,DEF,4.5,73,73,70,69,69,64,345,15.3,0.2%
Beto,FWD,5.5,44,44,39,43,45,48,219,8.0,11.0%
Reinildo,DEF,4.0,80,80,79,79,77,71,386,19.3,7.5%
Yarmoliuk,MID,5.0,64,64,62,58,55,55,294,11.8,0.1%
Henry,DEF,4.5,73,73,72,67,64,61,337,15.0,0.2%
Mayenda,FWD,5.5,60,60,55,49,44,45,253,9.2,0.3%
J.Ramsey,MID,5.5,46,46,49,47,41,46,229,8.3,0.6%
Tosin,DEF,4.5,68,68,62,54,39,43,266,11.8,0.8%
Hartman,DEF,4.0,75,75,71,66,65,61,338,16.9,0.5%
Alcaraz,MID,5.5,46,46,44,44,47,52,233,8.5,0.2%
Gnonto,MID,5.5,54,54,47,50,51,51,253,9.2,0.5%
Piroe,FWD,5.5,62,62,50,45,41,38,236,8.6,2.6%
White,DEF,5.5,59,59,50,49,53,42,253,9.2,0.8%
Ugochukwu,MID,5.0,70,53,72,71,68,67,331,13.2,0.0%
Munetsi,MID,5.5,45,45,50,53,54,55,257,9.3,0.1%
Gündoğan,MID,6.5,59,59,51,49,34,37,230,7.1,0.2%
N.Jackson,FWD,6.5,0,0,48,52,51,47,198,6.1,0.1%
Johnson,MID,7.0,37,37,40,39,47,38,201,5.7,4.1%
Hoever,DEF,4.0,55,55,63,58,59,56,291,14.6,2.6%
Berge,MID,5.0,62,62,66,63,63,60,314,12.6,0.1%
Alderete,DEF,4.0,41,41,59,80,67,46,293,14.7,0.0%
Kayode,DEF,4.5,63,63,64,59,54,53,293,13.0,0.2%
Chalobah,DEF,5.0,64,64,59,51,43,42,259,10.4,1.0%
Ekdal,DEF,4.0,86,86,71,62,51,38,308,15.4,0.2%
J.Murphy,MID,6.5,53,53,48,47,35,38,221,6.8,2.9%
Andreas,MID,5.5,37,37,40,45,39,41,202,7.3,0.4%
Adams,MID,5.0,84,84,78,41,45,42,290,11.6,0.2%
Fofana,DEF,4.5,37,37,40,59,65,69,270,12.0,0.3%
Longstaff,MID,5.0,62,62,62,59,59,58,300,12.0,0.2%
Henderson,MID,5.0,51,51,58,57,55,51,272,10.9,0.3%
Dunk,DEF,4.5,69,69,62,60,58,58,307,13.6,1.2%
Digne,DEF,4.5,44,44,49,47,45,45,230,10.2,1.9%
Doku,MID,6.5,44,44,40,34,37,34,189,5.8,1.1%
Gittens,MID,6.5,40,40,35,33,30,38,176,5.4,0.3%
Maatsen,DEF,4.5,46,46,44,48,47,45,230,10.2,0.9%
Cherki,MID,6.5,38,38,39,31,31,30,169,5.2,7.7%
J.Timber,DEF,5.5,44,44,45,51,51,59,250,9.1,2.3%
McNeil,MID,6.0,46,46,44,39,41,46,216,7.2,0.6%
Jensen,MID,5.0,56,56,50,50,41,42,239,9.6,0.1%
Dominic Calvert-Lewin,FWD,99.9,23,23,27,39,52,52,193,0.4,0.0%
Broja,FWD,5.5,42,32,38,44,45,46,205,7.5,0.0%
Isak,FWD,10.5,0,0,0,0,83,81,164,3.1,17.1%
Sangaré,MID,5.0,53,53,50,52,52,51,258,10.3,0.1%
Yates,MID,5.0,48,48,46,47,51,54,246,9.8,0.2%
Tanaka,MID,5.0,65,65,62,61,59,57,304,12.2,0.3%
Smith,DEF,4.5,71,71,64,65,61,58,319,14.2,0.2%
Sessegnon,MID,5.5,56,42,62,53,34,34,225,8.2,0.1%
Møller Wolfe,DEF,4.5,65,65,62,64,64,59,314,14.0,0.0%
Bergvall,MID,5.5,44,44,46,48,44,40,222,8.1,0.2%
Ampadu,MID,5.0,65,65,60,59,61,57,302,12.1,0.1%
Souček,MID,6.0,40,40,43,45,43,48,219,7.3,1.0%
Dalot,DEF,4.5,63,63,59,59,63,55,299,13.3,2.5%
Ayari,MID,5.0,43,43,39,47,48,49,226,9.0,0.2%
Bijol,DEF,4.0,0,0,78,78,75,75,306,15.3,0.2%
Spence,DEF,4.5,60,60,47,50,48,53,258,11.5,0.6%
Sadiki,MID,5.0,54,54,54,51,54,46,259,10.4,0.1%
Trossard,MID,7.0,13,10,30,39,36,41,156,4.5,0.9%
Estêvão,MID,6.5,30,30,30,34,37,39,170,5.2,1.8%
Smith Rowe,MID,6.0,35,35,39,42,35,39,190,6.3,1.1%
Havertz,FWD,7.5,31,31,33,37,35,33,169,4.5,1.2%
Matheus N.,DEF,5.5,42,42,44,43,40,42,211,7.7,0.5%
Adama,MID,5.5,34,34,42,40,33,36,185,6.7,0.3%
Fer López,MID,5.5,45,45,40,38,37,32,192,7.0,0.1%
Igor Jesus,FWD,6.0,35,35,40,35,37,34,181,6.0,1.0%
Rodrigo,MID,6.5,8,4,21,43,69,80,217,6.7,0.9%
O.Dango,MID,6.0,30,30,30,33,36,29,158,5.3,0.2%
Bellegarde,MID,5.5,28,28,33,40,37,45,183,6.7,0.1%
Thiaw,DEF,5.0,27,27,40,56,59,60,242,9.7,0.0%
C.Jones,MID,5.5,51,51,28,32,32,32,175,6.4,0.1%
Burn,DEF,5.0,66,66,52,37,37,39,231,9.2,3.4%
Mainoo,MID,5.0,44,44,44,45,46,42,221,8.8,0.8%
Lerma,MID,5.0,47,47,42,41,42,43,215,8.6,0.1%
King,MID,4.5,45,45,34,34,35,33,181,8.0,0.7%
Gruda,MID,5.5,33,33,34,34,28,29,158,5.7,0.1%
O'Riley,MID,5.5,31,31,31,31,26,29,148,5.4,0.1%
Ugarte,MID,5.0,47,47,45,42,42,38,214,8.6,0.2%
Udogie,DEF,4.5,41,31,53,49,49,48,230,10.2,3.3%
Cook,MID,5.0,0,0,0,75,73,72,220,8.8,0.0%
Walker-Peters,DEF,4.5,43,43,37,45,51,47,223,9.9,0.5%
Potts,MID,4.5,58,58,53,42,37,34,224,10.0,0.8%
Odobert,MID,5.5,30,30,29,28,34,24,145,5.3,0.1%
Robinson,DEF,5.0,0,0,3,27,82,81,193,7.7,2.9%
Wieffer,MID,5.0,36,36,37,40,33,39,185,7.4,0.1%
Onana,MID,5.0,35,35,39,37,38,43,192,7.7,1.6%
H.Traorè,MID,4.5,46,46,33,25,23,26,153,6.8,0.3%
Madueke,MID,7.0,22,22,23,20,23,28,116,3.3,1.4%
Bruun Larsen,MID,5.5,31,31,28,29,32,29,149,5.4,0.1%
Maguire,DEF,4.5,46,46,37,47,42,39,211,9.4,0.7%
Hughes,MID,5.0,51,51,45,34,33,32,195,7.8,0.1%
Delap,FWD,6.5,35,35,18,20,19,19,111,3.4,4.5%
Shaw,DEF,4.5,48,48,47,44,41,38,218,9.7,0.2%
Hinshelwood,MID,5.5,39,39,38,42,38,36,193,7.0,0.1%
Casemiro,MID,5.5,38,38,33,34,34,35,174,6.3,0.2%
Wilson,FWD,6.0,8,8,22,27,36,33,126,4.2,0.4%
N.Gonzalez,MID,6.0,52,52,49,37,24,12,174,5.8,0.1%
Aaronson,MID,5.5,29,29,28,31,30,32,150,5.5,0.1%
Kamada,MID,5.0,0,0,21,39,46,45,151,6.0,0.1%
Savinho,MID,7.0,25,25,21,20,26,22,114,3.3,1.8%
Mazraoui,DEF,5.0,40,20,41,47,37,38,183,7.3,0.7%
L.Guilherme,MID,5.0,26,26,31,32,26,21,136,5.4,0.1%
Milambo,MID,5.5,25,25,25,27,27,35,139,5.1,0.1%
Roberts,MID,5.5,25,25,30,27,27,28,137,5.0,0.1%
Gusto,DEF,5.0,30,30,35,31,31,30,157,6.3,1.9%
Akanji,DEF,5.5,41,41,34,31,29,35,170,6.2,0.7%
Lewis,DEF,5.0,30,30,37,34,36,27,164,6.6,0.7%
Gomez,MID,5.0,28,28,28,27,31,30,144,5.8,0.1%
Trippier,DEF,5.0,36,36,28,27,33,32,156,6.2,1.7%
Osula,FWD,5.5,40,40,30,31,7,6,114,4.1,0.2%
Mings,DEF,4.5,23,23,36,32,37,36,164,7.3,0.7%
Scott,MID,5.0,45,45,35,18,23,21,142,5.7,0.1%
Ramazani,MID,5.0,23,23,23,24,24,26,120,4.8,0.1%
Isidor,FWD,5.5,28,28,26,27,20,27,128,4.7,0.3%
Hickey,DEF,4.0,22,22,32,33,47,49,183,9.2,0.6%
Robertson,DEF,6.0,26,26,22,24,22,25,119,4.0,1.7%
Elliott,MID,5.5,26,26,14,17,20,23,100,3.6,0.2%
S.Bueno,DEF,4.5,32,32,35,36,42,33,178,7.9,0.1%
Hato,DEF,5.0,20,20,27,31,33,34,145,5.8,0.3%
R.Gomes,DEF,4.5,21,21,31,28,30,30,140,6.2,0.1%
Harrison,MID,5.5,22,22,24,19,22,29,116,4.2,0.2%
Esse,MID,5.0,21,21,20,24,23,21,109,4.4,0.2%
Veltman,DEF,4.5,34,34,32,28,33,32,159,7.1,0.3%
Jota,MID,5.5,18,18,23,20,22,23,106,3.9,0.1%
Struijk,DEF,4.5,73,73,17,20,21,24,155,6.9,0.4%
Bradley,DEF,5.0,16,12,23,23,25,29,112,4.5,0.3%
Castagne,DEF,4.5,25,25,28,34,34,29,150,6.7,0.2%
Calafiori,DEF,5.5,14,14,22,23,31,28,118,4.3,0.7%
Laurent,MID,5.0,36,36,28,27,27,27,145,5.8,0.0%
Awoniyi,FWD,5.5,19,19,19,20,17,22,97,3.5,0.8%
J.Araujo,DEF,4.0,26,26,29,31,33,30,149,7.5,1.3%
Merino,MID,6.0,15,15,19,20,23,22,99,3.3,0.7%
Koleosho,MID,5.0,21,21,21,20,24,22,108,4.3,0.1%
Mosquera,DEF,4.5,18,18,23,30,38,40,149,6.6,0.1%
Coppola,DEF,4.5,25,25,22,26,32,31,136,6.0,0.1%
Chiesa,MID,6.5,14,14,11,16,18,18,77,2.4,0.1%
Marc Guiu,FWD,4.5,5,4,11,26,31,29,101,4.5,14.0%
Gomez,DEF,5.0,17,13,20,26,27,33,119,4.8,0.1%
Khusanov,DEF,5.5,25,25,23,23,23,31,125,4.5,0.4%
Nmecha,FWD,5.0,18,18,20,18,15,14,85,3.4,0.5%
Devenny,MID,4.5,22,22,22,17,17,14,92,4.1,1.9%
Boscagli,DEF,4.5,21,21,27,26,25,27,126,5.6,0.1%
Aké,DEF,5.5,21,21,22,26,22,25,116,4.2,0.6%
F.Kadıoğlu,DEF,4.5,21,21,26,27,21,24,119,5.3,0.2%
Højlund,FWD,6.5,18,18,19,16,16,15,84,2.6,0.8%
Mount,MID,6.0,22,22,17,18,17,14,88,2.9,0.2%
Morato,DEF,4.5,14,14,24,25,28,29,120,5.3,0.1%
A.Ramsey,MID,4.5,7,7,17,18,20,26,88,3.9,11.5%
Danso,DEF,4.5,18,18,20,26,26,25,115,5.1,0.1%
Patterson,DEF,4.5,21,16,17,26,29,31,119,5.3,0.1%
L.Miley,MID,4.5,15,15,21,25,23,14,98,4.4,3.0%
Brooks,MID,5.0,18,18,17,11,19,14,79,3.2,0.1%
Sosa,DEF,5.0,21,21,22,21,18,20,102,4.1,0.1%
Botman,DEF,5.0,23,23,20,17,23,26,109,4.4,0.5%
Hill,DEF,4.0,44,44,15,18,22,20,119,6.0,0.8%
Areola,GK,4.5,48,48,27,10,14,15,114,5.1,5.3%
Stones,DEF,5.5,19,19,20,20,18,24,101,3.7,0.5%
Clyne,DEF,4.0,16,16,19,23,21,28,107,5.3,0.7%
Sinisterra,MID,5.0,10,8,15,14,15,16,68,2.7,0.1%
Bornauw,DEF,4.0,42,32,16,25,21,20,114,5.7,0.2%
M.Bizot,GK,4.5,95,95,2,4,2,3,106,4.7,0.3%
Wissa,FWD,7.5,0,0,0,0,20,50,70,1.9,5.7%
Tuanzebe,DEF,4.0,13,13,20,21,28,32,114,5.7,3.0%
J.Cuenca,DEF,4.5,42,42,23,18,9,9,101,4.5,0.1%
Masuaku,DEF,4.0,28,21,28,27,16,15,107,5.3,0.1%
Bissouma,MID,5.5,8,8,11,19,24,23,85,3.1,0.1%
Mavropanos,DEF,4.5,16,16,14,18,24,22,94,4.2,0.1%
Seelt,DEF,4.0,46,46,28,15,11,5,105,5.3,0.4%
Lucas Pires,DEF,4.0,17,17,19,24,23,17,100,5.0,0.2%
Neil,MID,5.0,16,16,16,20,22,22,96,3.8,0.1%
Foster,FWD,5.0,16,16,11,10,12,11,60,2.4,0.3%
Álvarez,MID,5.0,11,11,13,19,16,19,78,3.1,0.2%
Nørgaard,MID,5.5,12,12,12,15,18,15,72,2.6,0.7%
Hee Chan,MID,6.0,4,4,8,12,13,12,49,1.6,0.2%
Rigg,MID,5.0,12,12,15,14,13,11,65,2.6,0.1%
Gray,MID,5.0,12,12,20,16,16,22,86,3.4,0.2%
Bailey,MID,5.5,10,10,5,8,10,10,43,1.6,0.5%
Tzimas,FWD,5.5,4,4,9,10,13,9,45,1.6,0.1%
Byram,DEF,4.0,17,17,16,19,18,16,86,4.3,0.3%
Summerville,MID,5.5,0,0,0,0,17,41,58,2.1,0.0%
Cairney,MID,5.0,5,5,9,13,15,15,57,2.3,0.1%
Nwaneri,MID,5.5,6,6,7,11,10,10,44,1.6,0.4%
O'Nien,DEF,4.0,0,0,0,0,32,73,105,5.3,0.0%
G.Rodriguez,MID,5.0,9,9,16,13,18,13,69,2.8,0.1%
Kroupi.Jr,FWD,4.5,10,10,6,7,9,11,43,1.9,1.1%
Jordan,DEF,4.0,1,1,9,16,21,34,81,4.0,0.2%
Endo,MID,5.0,25,25,6,9,6,10,56,2.2,0.1%
Peart-Harris,MID,4.5,7,7,9,15,8,3,42,1.9,0.0%
Scarles,DEF,4.5,10,10,13,15,14,10,62,2.8,0.0%
Aznou,DEF,4.5,28,28,9,7,11,13,68,3.0,0.1%
Janelt,MID,5.0,0,0,0,12,24,26,62,2.5,0.1%
Buonanotte,MID,5.0,8,8,7,7,6,7,35,1.4,0.3%
Zirkzee,FWD,6.0,6,3,8,8,10,11,40,1.3,0.6%
Tchaouna,MID,5.0,8,8,7,7,10,10,42,1.7,0.0%
Gruev,MID,5.0,10,10,9,15,16,13,63,2.5,0.1%
McAtee,MID,5.5,6,6,6,5,10,6,33,1.2,0.1%
Lavia,MID,5.0,16,4,10,16,15,14,59,2.4,0.1%
Barkley,MID,5.0,9,7,8,8,10,10,43,1.7,0.2%
Pinnock,DEF,4.5,6,6,10,18,14,13,61,2.7,0.3%
Diop,DEF,4.5,13,13,13,18,12,15,71,3.2,0.1%
Ajer,DEF,4.5,11,11,11,13,11,15,61,2.7,0.2%
March,MID,6.0,0,0,0,6,18,17,41,1.4,0.1%
Bobb,MID,5.5,6,6,6,6,4,8,30,1.1,0.1%
