Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Piroe,69,3.5,2.5,3.2,2.9,2.9,15.0,0.55,3.3%
Souček,73,3.4,2.8,2.8,3.0,2.9,14.9,0.50,0.9%
Truffert,90,1.9,3.9,2.7,3.2,3.1,14.9,0.66,1.3%
Onana,92,1.6,3.3,3.9,2.8,3.4,14.9,0.60,0.1%
Aït-Nouri,58,3.1,3.4,3.0,3.2,2.2,14.9,0.50,23.3%
Rúben,79,3.4,3.4,2.7,3.0,2.2,14.8,0.54,2.5%
Roefs,86,3.1,3.2,3.0,2.7,2.8,14.7,0.66,0.1%
Agbadou,91,2.5,2.9,3.5,2.5,3.4,14.7,0.66,0.3%
Aina,90,3.4,2.7,3.4,1.9,3.3,14.6,0.59,17.6%
Foden,47,3.0,3.2,3.0,3.0,2.4,14.5,0.36,3.2%
Edwards,69,2.9,3.7,2.5,2.4,2.9,14.5,0.58,0.2%
Lukić,84,2.9,3.0,2.6,3.1,2.9,14.5,0.58,0.1%
Xhaka,89,3.1,3.0,2.9,2.8,2.6,14.4,0.58,2.3%
E.Le Fée,74,3.2,3.0,2.8,2.7,2.7,14.4,0.58,1.1%
Cullen,86,2.8,3.3,2.8,2.7,2.8,14.4,0.58,0.1%
Ndoye,62,3.2,2.6,3.2,2.3,3.1,14.4,0.48,0.3%
Mykolenko,88,3.2,3.3,3.0,3.1,1.8,14.4,0.57,4.5%
Kerkez,66,3.2,2.5,2.4,3.0,3.2,14.4,0.48,10.3%
Muniz,64,3.0,2.9,2.5,3.1,2.8,14.3,0.52,2.5%
De Ligt,81,2.7,3.2,3.9,2.0,2.6,14.3,0.57,1.0%
McGinn,57,2.8,2.8,2.9,2.7,3.1,14.3,0.52,0.6%
Martinez,0,0.0,3.2,3.6,3.5,3.9,14.2,0.57,0.5%
Kamara,82,3.0,2.8,2.8,2.7,2.8,14.1,0.56,0.2%
Wharton,70,2.7,2.9,2.6,3.1,2.7,14.0,0.56,0.5%
Burn,78,2.6,2.3,2.9,3.4,2.7,13.9,0.56,3.2%
Rodon,91,3.5,2.3,2.7,2.7,2.9,13.9,0.70,1.8%
Bassey,91,2.6,3.0,2.2,3.2,2.8,13.9,0.62,0.4%
N.Jackson,0,0.0,3.6,3.8,3.5,3.0,13.9,0.43,0.1%
André,88,2.8,2.9,2.8,2.6,2.8,13.8,0.50,0.1%
Toti,91,2.3,2.7,3.2,2.4,3.2,13.8,0.61,0.2%
James,61,3.2,2.7,3.0,2.5,2.3,13.7,0.50,4.6%
Lewis-Potter,69,2.8,2.9,3.4,2.3,2.4,13.7,0.55,0.5%
Pau,75,2.7,2.5,2.8,2.6,3.2,13.7,0.61,0.5%
Zubimendi,66,2.5,2.9,2.4,3.1,2.8,13.7,0.50,1.6%
Bogle,90,3.7,1.8,2.8,2.6,2.7,13.6,0.61,0.7%
J.Ramsey,55,2.8,2.6,2.8,2.6,2.8,13.6,0.50,0.6%
Henderson,74,2.9,3.0,2.8,2.5,2.4,13.6,0.54,0.4%
De Cuyper,67,3.3,2.7,2.3,2.5,2.7,13.5,0.60,7.6%
Gudmundsson,82,3.5,1.8,2.8,2.6,2.8,13.4,0.67,2.1%
Stach,70,2.9,2.4,2.7,2.6,2.7,13.4,0.53,0.1%
Raúl,35,2.0,2.8,2.2,3.2,3.2,13.3,0.41,2.4%
Van de Ven,85,3.7,1.7,3.0,2.6,2.3,13.3,0.59,18.4%
O'Brien,87,3.0,3.0,2.8,2.8,1.6,13.2,0.53,0.4%
Bentancur,75,3.1,2.4,2.6,2.6,2.5,13.2,0.48,0.1%
Elanga,51,2.5,2.4,2.8,3.1,2.4,13.2,0.38,9.6%
Havertz,50,2.6,3.5,2.1,2.8,2.1,13.2,0.35,1.3%
Ward-Prowse,58,2.8,2.3,2.5,2.6,2.7,13.0,0.43,0.4%
Beto,59,3.0,2.9,2.6,2.6,2.0,13.0,0.47,13.7%
Bernardo,62,2.8,2.7,2.6,2.7,2.1,13.0,0.40,0.6%
Ballard,90,3.0,2.9,2.6,2.2,2.2,12.9,0.58,0.3%
Dewsbury-Hall,57,2.5,2.6,2.8,2.8,2.1,12.9,0.51,0.9%
Sangaré,65,2.6,2.7,2.7,2.3,2.5,12.8,0.51,0.1%
Hume,87,3.0,2.9,2.5,2.2,2.3,12.8,0.57,0.3%
Robinson,41,1.4,2.3,2.0,3.6,3.3,12.7,0.51,6.4%
Gravenberch,0,0.0,3.0,3.0,3.3,3.3,12.6,0.46,0.1%
Doherty,75,2.1,2.4,2.9,2.0,3.2,12.6,0.56,0.2%
Dalot,76,2.4,2.6,3.5,1.7,2.4,12.6,0.56,2.7%
Amad,54,2.3,2.4,3.0,2.2,2.6,12.5,0.39,3.7%
Livramento,72,2.3,2.1,2.7,2.9,2.5,12.5,0.50,4.2%
Tete,65,2.4,2.7,2.0,2.9,2.5,12.5,0.56,0.2%
Walker,87,2.3,3.8,2.0,1.7,2.7,12.4,0.55,2.2%
Fofana,43,1.8,2.2,3.0,2.6,2.7,12.4,0.55,0.3%
Gnonto,56,2.9,2.1,2.6,2.2,2.5,12.3,0.45,0.6%
Reinildo,88,2.8,2.8,2.5,2.0,2.2,12.3,0.61,8.1%
Henry,76,2.5,2.5,3.0,2.0,2.2,12.3,0.55,0.2%
Trossard,28,1.8,2.8,2.3,3.2,2.3,12.3,0.35,1.5%
Martinelli,49,2.7,3.2,1.8,2.4,2.0,12.2,0.35,1.4%
Garner,64,2.5,2.6,2.5,2.5,2.1,12.2,0.49,0.1%
Yoro,76,2.4,2.6,3.2,1.8,2.2,12.1,0.54,1.1%
J.Palhinha,66,2.6,2.2,2.6,2.4,2.2,12.0,0.44,0.2%
Bergvall,60,2.8,2.0,2.5,2.4,2.3,12.0,0.43,0.2%
R.Gomes,58,2.0,2.3,2.7,1.9,3.0,11.9,0.53,0.1%
Smith Rowe,50,2.3,2.3,2.0,2.7,2.6,11.9,0.40,1.2%
Johnson,41,2.7,2.0,2.5,2.5,2.1,11.9,0.34,3.6%
Ugochukwu,73,2.4,2.7,2.3,2.2,2.2,11.8,0.47,0.0%
Berge,76,2.4,2.4,2.1,2.4,2.3,11.8,0.47,0.1%
White,70,2.9,3.3,1.5,2.4,1.6,11.7,0.43,0.9%
Yarmoliuk,63,2.5,2.5,2.5,2.1,2.1,11.7,0.47,0.1%
Tuanzebe,81,2.4,3.3,2.0,1.6,2.3,11.7,0.58,3.5%
Andreas,43,2.1,2.3,2.0,2.6,2.5,11.5,0.42,0.5%
Carvalho,38,2.0,2.3,2.7,2.2,2.3,11.5,0.46,0.3%
Gittens,42,2.6,2.1,2.6,2.1,2.0,11.5,0.35,0.3%
Diarra,65,2.5,2.2,2.4,2.1,2.2,11.4,0.42,0.1%
Walker-Peters,61,2.7,2.0,2.0,2.4,2.2,11.3,0.50,0.5%
Barnes,38,2.0,2.2,2.4,2.6,2.1,11.3,0.35,0.6%
Chalobah,59,2.7,2.6,2.2,1.9,1.8,11.2,0.45,0.7%
Diouf,60,3.2,2.2,2.0,1.9,1.8,11.2,0.50,3.7%
Hartman,68,2.1,3.3,1.9,1.6,2.3,11.2,0.56,0.4%
Barry,42,2.1,2.4,2.2,2.4,2.0,11.1,0.37,1.1%
Roberts,47,2.4,2.3,2.2,2.0,2.1,11.0,0.40,0.1%
Longstaff,65,2.5,1.9,2.1,2.2,2.1,10.8,0.43,0.3%
Adams,84,2.8,3.1,1.8,1.5,1.6,10.8,0.43,0.2%
Tanaka,62,2.4,1.9,2.2,2.1,2.2,10.7,0.43,0.4%
Dunk,62,2.5,2.4,1.7,2.0,2.1,10.6,0.47,1.0%
Bellegarde,46,2.0,2.0,2.2,1.9,2.3,10.4,0.38,0.1%
Digne,44,1.9,1.8,2.0,1.9,2.7,10.4,0.46,1.7%
Maatsen,47,2.0,1.8,2.2,2.0,2.4,10.4,0.46,0.9%
Smith,67,1.4,2.8,1.9,2.2,2.0,10.3,0.46,0.2%
Mavropanos,48,2.3,2.0,2.0,2.0,2.0,10.3,0.46,0.1%
Mayenda,43,2.1,2.1,2.3,1.8,1.9,10.3,0.38,0.4%
Ugarte,60,2.2,2.0,2.2,1.8,2.0,10.3,0.41,0.2%
Højlund,33,1.7,2.1,2.4,1.8,2.2,10.3,0.32,1.1%
Mainoo,52,2.0,2.1,2.4,1.9,1.9,10.2,0.41,1.0%
Kamada,46,1.8,2.1,1.8,2.4,2.0,10.1,0.41,0.1%
Richarlison,35,2.3,1.7,2.2,2.1,1.8,10.1,0.31,1.1%
Ampadu,63,2.1,1.9,2.2,1.9,1.9,10.1,0.40,0.1%
Kayode,63,2.3,2.0,2.6,1.6,1.4,9.9,0.44,0.3%
Scott,64,2.4,2.9,1.6,1.3,1.6,9.8,0.39,0.1%
Mazraoui,49,1.7,2.2,2.5,1.5,1.8,9.8,0.39,1.1%
Udogie,61,3.0,1.3,2.1,1.9,1.5,9.8,0.44,7.3%
Gündoğan,38,2.0,2.2,1.9,2.1,1.6,9.8,0.30,0.2%
Doku,35,2.0,2.1,1.9,2.0,1.7,9.8,0.30,1.2%
Sessegnon,56,2.3,2.2,1.7,1.7,1.7,9.6,0.35,0.2%
Talbi,46,2.2,2.0,1.9,1.7,1.8,9.6,0.38,0.2%
Odobert,36,2.2,1.6,2.1,1.8,1.9,9.5,0.35,0.1%
O.Dango,29,1.3,2.3,1.9,1.9,2.1,9.4,0.31,0.2%
Coppola,46,2.1,1.9,1.5,1.7,2.2,9.4,0.42,0.1%
Bijol,0,0.0,2.0,2.4,2.4,2.6,9.4,0.47,0.1%
J.Timber,30,1.3,2.1,1.4,2.4,2.0,9.2,0.33,2.2%
Darwin,23,1.6,1.8,1.8,1.7,2.3,9.2,0.28,1.2%
Wilson,30,2.0,1.6,1.6,2.1,1.8,9.1,0.30,0.2%
Ayari,41,2.0,1.9,1.5,1.8,1.9,9.1,0.36,0.3%
Hoever,46,1.5,1.8,2.0,1.5,2.3,9.1,0.45,2.7%
Hinshelwood,38,1.7,1.8,1.8,1.9,1.9,9.0,0.33,0.2%
Cook,0,0.0,0.0,3.0,3.1,2.9,9.0,0.36,0.0%
Nmecha,31,1.9,1.4,2.0,1.8,1.8,8.8,0.35,0.7%
Maguire,45,1.5,1.8,2.5,1.4,1.6,8.7,0.39,0.6%
J.Murphy,33,1.6,1.5,1.7,2.1,1.7,8.7,0.27,2.9%
C.Jones,49,2.5,1.4,1.5,1.6,1.7,8.7,0.32,0.1%
F.Kadıoğlu,38,1.8,2.0,1.4,1.6,1.9,8.7,0.39,0.3%
Sadiki,46,1.8,1.7,1.8,1.6,1.8,8.7,0.35,0.1%
Adama,36,1.7,1.9,1.5,1.7,1.8,8.7,0.32,0.4%
Matheus N.,35,1.7,2.1,1.6,1.8,1.3,8.6,0.31,0.6%
Hannibal,42,1.7,2.1,1.6,1.5,1.6,8.4,0.34,0.2%
Yates,35,1.5,1.5,1.9,1.6,1.8,8.4,0.34,0.2%
Spence,44,2.1,1.1,1.8,1.7,1.4,8.3,0.37,0.6%
Amdouni,40,1.7,2.0,1.4,1.4,1.6,8.1,0.33,0.4%
Mosquera,41,1.2,1.5,1.9,1.4,2.0,8.1,0.36,0.1%
Marc Guiu,31,1.6,1.6,1.7,1.5,1.7,8.1,0.36,7.6%
Merino,30,1.5,1.6,1.4,2.0,1.5,8.1,0.27,0.9%
Akanji,40,1.8,1.7,1.4,1.8,1.4,7.9,0.29,0.7%
Lewis,39,1.7,1.7,1.6,1.8,1.1,7.9,0.32,0.6%
Jensen,34,1.6,1.7,1.7,1.5,1.3,7.9,0.32,0.1%
S.Bueno,46,1.2,1.5,1.9,1.4,1.8,7.9,0.35,0.1%
Lerma,33,1.2,1.5,1.4,1.8,1.7,7.6,0.31,0.1%
Cherki,18,1.3,1.8,1.5,1.6,1.4,7.6,0.23,8.8%
Tosin,39,1.9,1.6,1.5,1.4,1.2,7.6,0.34,0.4%
Onana,29,1.2,1.4,1.5,1.5,1.9,7.5,0.30,1.7%
Jota,22,1.4,1.3,1.6,1.3,1.7,7.4,0.27,0.1%
Aaronson,28,1.5,1.2,1.6,1.6,1.4,7.3,0.26,0.1%
Bruun Larsen,31,1.5,1.7,1.4,1.2,1.4,7.2,0.26,0.1%
Seelt,67,2.2,1.9,1.9,1.0,0.2,7.2,0.36,0.4%
Hickey,26,0.9,1.2,1.8,1.6,1.6,7.1,0.36,0.8%
Trippier,29,1.2,1.1,1.7,1.7,1.4,7.1,0.28,1.5%
Hughes,37,1.4,1.4,1.3,1.7,1.3,7.0,0.28,0.1%
Gusto,29,1.4,1.4,1.5,1.2,1.4,7.0,0.28,2.1%
Patterson,29,1.3,1.5,1.5,1.6,1.0,6.9,0.31,0.2%
L.Guilherme,29,1.7,1.2,1.3,1.4,1.3,6.9,0.28,0.1%
O'Riley,23,1.5,1.4,1.1,1.4,1.5,6.8,0.25,0.2%
Savinho,18,1.2,1.5,1.4,1.5,1.3,6.8,0.19,1.9%
Mings,26,1.0,1.1,1.6,1.4,1.7,6.7,0.30,0.5%
Harrison,23,1.3,1.2,1.3,1.4,1.4,6.7,0.24,0.2%
G.Rodriguez,32,1.3,1.3,1.5,1.2,1.3,6.6,0.27,0.1%
Gruda,22,1.4,1.3,1.2,1.4,1.2,6.6,0.24,0.1%
Christie,0,0.0,0.0,1.1,2.7,2.7,6.5,0.26,0.5%
Milambo,16,0.8,1.3,1.4,1.4,1.5,6.5,0.24,0.1%
Mount,28,1.3,1.2,1.5,1.1,1.4,6.5,0.22,0.2%
Ramazani,19,1.2,1.0,1.6,1.4,1.3,6.4,0.26,0.1%
Guedes,16,0.9,1.1,1.4,1.3,1.7,6.4,0.23,0.1%
Robertson,20,1.1,1.0,1.0,1.4,1.7,6.3,0.21,2.1%
Estêvão,20,1.3,1.0,1.1,1.4,1.5,6.3,0.19,0.5%
Lavia,37,1.4,1.2,1.2,1.3,1.0,6.1,0.25,0.1%
Delap,30,2.1,0.9,1.0,1.1,1.0,6.0,0.19,4.7%
Bradley,16,0.9,0.9,1.1,1.4,1.7,5.9,0.24,0.6%
P.M.Sarr,24,1.3,0.9,1.2,1.2,1.2,5.9,0.24,2.0%
Botman,23,0.8,0.8,1.3,1.5,1.3,5.8,0.23,0.5%
Casemiro,21,0.9,1.2,1.3,1.0,1.3,5.8,0.21,0.2%
Castagne,24,0.8,1.2,0.8,1.6,1.4,5.7,0.26,0.2%
Koleosho,20,1.0,1.3,1.0,1.0,1.3,5.7,0.23,0.1%
Boscagli,26,1.2,1.0,0.9,1.2,1.3,5.6,0.25,0.2%
J.Araujo,26,0.7,1.2,1.1,1.1,1.4,5.6,0.28,1.3%
Álvarez,20,0.9,1.0,1.1,1.3,1.2,5.5,0.22,0.2%
Struijk,60,2.6,0.3,0.8,0.7,1.0,5.5,0.25,0.4%
Morato,21,0.8,0.8,1.3,1.0,1.4,5.5,0.24,0.1%
Bailey,14,0.9,1.1,1.1,1.0,1.5,5.4,0.20,0.5%
Foster,17,0.9,1.2,1.1,1.1,1.1,5.4,0.22,0.4%
Shaw,28,1.0,1.1,1.4,0.9,0.9,5.3,0.24,0.2%
Elliott,23,1.5,0.7,0.8,1.1,1.2,5.3,0.19,0.2%
Isidor,17,1.0,1.1,1.1,1.0,1.1,5.3,0.19,0.4%
Aké,21,0.9,1.1,1.1,1.2,1.0,5.3,0.19,0.5%
M.França,10,0.5,1.1,0.8,1.5,1.0,5.1,0.23,0.1%
Madueke,12,0.8,1.0,0.7,1.3,1.3,5.1,0.15,1.6%
Wieffer,22,1.0,1.0,0.9,0.9,1.1,5.0,0.20,0.1%
Brooks,18,0.8,1.2,1.1,0.8,0.9,4.9,0.19,0.2%
Danso,16,0.7,0.7,1.1,1.1,1.2,4.8,0.21,0.1%
Esse,13,0.7,0.9,1.0,1.3,0.8,4.8,0.19,0.3%
Awoniyi,13,0.8,0.9,1.1,0.8,1.0,4.6,0.17,0.8%
H.Traorè,21,1.0,1.6,0.7,0.6,0.6,4.5,0.20,0.3%
Igor Jesus,12,0.8,0.8,1.1,0.7,1.0,4.5,0.15,1.2%
Sinisterra,14,0.7,0.9,0.8,0.9,1.1,4.5,0.18,0.2%
Gomez,12,0.5,0.8,0.9,1.1,1.1,4.5,0.18,0.2%
Veltman,23,1.0,0.8,0.8,0.8,1.1,4.4,0.20,0.3%
L.Miley,13,0.6,1.1,1.0,1.0,0.6,4.4,0.20,3.2%
B.Badiashile,27,1.2,0.8,0.9,0.8,0.6,4.3,0.19,0.1%
Gomez,13,0.7,0.6,0.8,0.8,1.1,4.0,0.16,0.1%
Rigg,16,0.8,0.7,0.9,0.7,0.9,4.0,0.16,0.1%
Zirkzee,11,0.6,0.7,1.0,0.7,0.9,4.0,0.13,1.0%
Bornauw,38,1.5,0.3,0.5,0.6,0.9,4.0,0.20,0.3%
A.Ramsey,6,0.4,0.6,0.5,1.0,1.4,3.9,0.17,12.7%
Scarles,14,0.7,0.7,0.9,0.9,0.8,3.9,0.17,0.1%
M.Bizot,94,3.4,0.1,0.1,0.1,0.1,3.9,0.17,0.3%
Ekdal,22,0.7,0.9,0.8,0.6,0.9,3.9,0.19,0.3%
Lamptey,18,0.9,0.8,0.6,0.7,0.9,3.9,0.17,0.4%
Stones,10,0.4,0.8,0.7,1.1,0.8,3.8,0.14,0.5%
Ekwah,20,0.8,0.9,1.1,0.5,0.4,3.7,0.16,0.1%
Cairney,10,0.5,0.6,0.7,0.8,1.0,3.7,0.15,0.1%
Khusanov,15,0.6,0.7,0.9,0.9,0.6,3.6,0.13,0.3%
Calafiori,7,0.4,0.7,0.6,0.9,0.9,3.6,0.13,0.6%
Hato,10,0.5,0.6,0.9,0.7,0.9,3.6,0.14,0.2%
Summerville,0,0.0,0.0,0.0,1.1,2.4,3.5,0.13,0.0%
