Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Tonali,MID,5.5,90,3.4,3.3,3.6,3.5,3.3,17.2,0.63,2.3%
Collins,DEF,5.0,92,3.5,3.3,4.0,3.0,3.2,17.1,0.68,1.8%
Milenković,DEF,5.5,90,3.9,3.3,3.8,2.4,3.7,17.1,0.62,9.3%
Sels,GK,5.0,94,3.6,3.3,3.7,2.8,3.6,17.0,0.68,18.3%
J.Arias,MID,5.5,64,2.9,3.2,3.7,3.0,4.2,17.0,0.62,1.2%
Vicario,GK,5.0,94,4.0,2.9,3.5,3.3,3.2,16.9,0.67,3.4%
Hall,DEF,5.5,87,3.0,2.8,3.5,4.3,3.1,16.7,0.61,2.6%
Isak,FWD,10.5,0,0.0,2.1,3.9,5.8,4.8,16.7,0.32,24.4%
Leno,GK,5.0,93,3.1,3.4,2.9,3.7,3.5,16.7,0.67,1.7%
Pickford,GK,5.5,92,3.5,3.5,3.5,3.4,2.7,16.6,0.60,12.0%
João Pedro,FWD,7.5,70,4.1,3.5,3.4,2.9,2.7,16.6,0.44,53.0%
Richards,DEF,4.5,86,2.7,3.7,2.7,4.3,3.1,16.5,0.73,1.1%
Reijnders,MID,5.5,77,3.8,3.8,3.3,3.1,2.4,16.4,0.60,6.0%
Konsa,DEF,4.5,91,3.2,3.1,3.5,3.0,3.6,16.3,0.73,23.7%
Branthwaite,DEF,5.5,87,3.7,3.6,3.6,3.1,2.3,16.3,0.59,1.9%
Gvardiol,DEF,6.0,61,3.0,3.9,3.4,3.7,2.3,16.3,0.54,17.2%
Guéhi,DEF,4.5,91,2.6,3.7,2.6,4.3,3.1,16.3,0.72,13.1%
Verbruggen,GK,4.5,92,3.5,3.3,3.0,3.1,3.3,16.2,0.72,6.9%
Romero,DEF,5.0,89,4.4,2.3,3.5,3.3,2.8,16.2,0.65,1.8%
Gomes,MID,5.5,88,3.1,3.3,3.3,2.9,3.4,16.2,0.59,0.1%
Tel,MID,6.5,60,4.3,2.5,3.4,3.2,2.7,16.1,0.50,0.2%
Kluivert,MID,7.0,46,2.1,3.6,3.1,3.6,3.6,16.1,0.46,4.7%
Thiago,FWD,6.0,69,3.5,3.5,3.4,2.9,2.8,16.1,0.54,1.2%
Gana,MID,5.5,90,3.5,3.3,3.2,3.2,2.8,16.1,0.59,0.1%
Baleba,MID,5.0,86,3.5,3.2,2.9,3.3,3.2,16.1,0.64,5.0%
Petrović,GK,4.5,92,2.8,3.7,3.0,3.3,3.1,16.1,0.71,3.9%
Anthony,MID,5.5,77,3.2,4.1,3.0,2.6,3.2,16.0,0.58,0.1%
Hudson-Odoi,MID,6.0,74,3.6,3.1,3.6,2.5,3.2,16.0,0.53,1.7%
Estève,DEF,4.0,93,3.0,4.2,2.9,2.5,3.4,15.9,0.80,14.2%
Cash,DEF,4.5,80,3.2,3.0,3.4,2.9,3.5,15.9,0.71,1.7%
E.Le Fée,MID,5.0,78,3.5,3.3,3.3,3.0,2.9,15.9,0.64,0.9%
Welbeck,FWD,6.5,52,3.3,2.9,2.7,3.1,3.8,15.9,0.49,7.3%
Kilman,DEF,4.5,91,3.9,2.9,2.9,3.0,3.1,15.9,0.71,0.4%
Adingra,MID,5.5,78,3.6,3.1,3.3,2.8,3.0,15.9,0.58,2.5%
McNeil,MID,6.0,74,3.4,3.4,3.1,3.2,2.7,15.8,0.53,0.7%
Van den Berg,DEF,4.5,91,3.2,3.0,3.7,2.8,3.0,15.8,0.70,0.4%
Minteh,MID,6.0,68,3.7,3.0,3.0,2.9,3.1,15.7,0.52,1.3%
José Sá,GK,4.5,92,2.9,3.1,3.4,2.9,3.5,15.7,0.70,2.3%
Wan-Bissaka,DEF,4.5,91,3.9,2.8,2.8,2.9,3.2,15.7,0.70,30.8%
Roefs,GK,4.5,94,3.4,3.3,3.1,2.9,3.0,15.7,0.70,0.1%
Malen,MID,5.5,64,3.6,3.1,3.3,2.6,3.1,15.6,0.57,3.0%
Benjamin Sesko,FWD,99.9,50,2.4,2.9,4.3,2.8,3.3,15.6,0.03,0.0%
Henderson,GK,5.0,86,2.7,3.4,2.7,3.7,3.0,15.6,0.62,3.5%
Kelleher,GK,4.5,95,2.4,3.2,3.7,3.1,3.1,15.6,0.69,28.4%
Aina,DEF,5.0,89,3.6,2.9,3.6,2.0,3.5,15.6,0.62,17.3%
Munetsi,MID,5.5,79,3.0,3.0,3.1,2.8,3.6,15.5,0.56,0.1%
Pope,GK,5.0,89,3.0,2.9,3.3,3.4,3.0,15.5,0.62,3.7%
Dorgu,DEF,4.5,81,2.8,3.2,4.5,2.0,3.0,15.4,0.69,6.0%
Aït-Nouri,DEF,6.0,69,3.9,3.3,2.8,3.3,2.1,15.4,0.51,22.7%
Dewsbury-Hall,MID,5.0,71,3.2,3.1,3.2,3.1,2.7,15.2,0.61,1.6%
Füllkrug,FWD,6.0,65,3.4,2.9,2.9,3.0,3.1,15.2,0.51,2.4%
Zabarnyi,DEF,5.0,92,2.4,3.8,2.8,3.2,2.9,15.1,0.60,0.5%
Senesi,DEF,4.5,87,2.4,3.8,2.8,3.2,2.9,15.1,0.67,0.7%
Alcaraz,MID,5.5,62,3.1,3.3,3.1,3.1,2.5,15.1,0.55,0.3%
Todibo,DEF,4.5,90,3.7,2.7,2.7,2.9,3.0,15.0,0.67,0.1%
Szoboszlai,MID,6.5,62,3.6,2.5,2.5,3.0,3.3,15.0,0.46,1.8%
Burn,DEF,5.0,79,2.7,2.6,3.1,3.6,2.9,14.9,0.60,3.2%
Agbadou,DEF,4.5,87,2.5,2.9,3.5,2.5,3.5,14.9,0.66,0.3%
Truffert,DEF,4.5,91,2.0,4.1,2.6,3.2,2.9,14.9,0.66,1.1%
Raúl,FWD,6.5,50,2.7,3.0,2.3,3.5,3.3,14.8,0.46,2.4%
Kamara,MID,5.0,83,3.1,2.9,3.0,2.8,3.1,14.8,0.59,0.2%
Onana,GK,5.0,88,1.5,3.2,4.0,2.9,3.3,14.8,0.59,0.1%
Cullen,MID,5.0,87,2.9,3.4,2.8,2.7,2.9,14.8,0.59,0.1%
Bassey,DEF,4.5,89,2.8,3.1,2.4,3.4,3.1,14.8,0.66,0.4%
Van Hecke,DEF,4.5,91,3.6,3.0,2.4,2.8,3.0,14.8,0.66,1.2%
Zubimendi,MID,5.5,72,2.8,3.3,2.7,3.0,2.9,14.7,0.54,1.7%
Mykolenko,DEF,5.0,85,3.3,3.3,3.2,3.0,1.9,14.7,0.59,4.3%
Kerkez,DEF,6.0,69,3.4,2.5,2.4,3.3,3.2,14.7,0.49,9.9%
Tavernier,MID,5.5,61,2.5,3.6,2.7,2.9,2.9,14.6,0.53,0.4%
Ndoye,MID,6.0,66,3.3,2.7,3.3,2.3,3.0,14.6,0.49,0.3%
Lewis-Skelly,DEF,5.5,78,3.1,3.9,2.1,3.0,2.5,14.5,0.53,5.2%
Rúben,DEF,5.5,79,3.5,3.2,2.8,3.0,2.1,14.5,0.53,2.5%
André,MID,5.5,88,2.9,3.1,2.9,2.8,2.9,14.5,0.53,0.1%
Mitchell,DEF,5.0,75,2.2,3.2,2.3,4.1,2.7,14.5,0.58,1.0%
Souček,MID,6.0,70,3.1,2.8,2.8,2.8,3.0,14.5,0.48,0.9%
Perri,GK,4.5,67,2.6,2.7,3.1,3.0,3.1,14.4,0.64,0.3%
Martinez,GK,5.0,0,0.0,3.4,3.7,3.4,3.9,14.4,0.57,0.5%
Xhaka,MID,5.0,89,3.1,2.9,2.9,2.7,2.7,14.3,0.57,2.4%
Lukić,MID,5.0,83,2.9,3.0,2.6,2.9,2.9,14.3,0.57,0.1%
Bernardo,MID,6.5,72,3.4,3.1,2.8,2.9,2.1,14.3,0.44,0.7%
De Ligt,DEF,5.0,84,2.6,3.0,3.9,1.9,2.7,14.3,0.57,1.1%
Piroe,FWD,5.5,65,3.1,2.4,3.0,2.8,2.9,14.2,0.52,3.1%
James,DEF,5.5,63,3.3,2.8,3.3,2.5,2.3,14.2,0.52,4.5%
Bentancur,MID,5.5,79,3.4,2.6,2.9,2.7,2.6,14.2,0.52,0.1%
Elanga,MID,7.0,54,2.7,2.8,2.8,3.2,2.6,14.2,0.41,9.2%
James,MID,5.5,65,3.2,2.4,3.0,2.7,2.8,14.2,0.52,0.7%
Ballard,DEF,4.5,89,3.2,3.2,2.9,2.5,2.4,14.1,0.63,0.3%
Edwards,MID,5.0,66,2.7,3.6,2.4,2.6,2.8,14.1,0.56,0.2%
De Cuyper,DEF,4.5,75,3.5,2.8,2.3,2.6,2.9,14.1,0.62,7.4%
Dúbravka,GK,4.0,48,1.5,3.9,2.8,2.7,3.2,14.0,0.70,23.6%
Mads Hermansen,GK,99.9,54,2.1,2.9,2.9,3.1,3.0,14.0,0.03,0.0%
Beto,FWD,5.5,59,3.2,3.1,2.7,2.8,2.2,14.0,0.51,13.1%
Van de Ven,DEF,4.5,85,3.8,1.9,3.0,2.8,2.4,13.9,0.62,19.5%
O'Brien,DEF,5.0,89,3.3,3.2,3.0,2.7,1.8,13.9,0.56,0.4%
Wissa,FWD,7.5,38,2.1,2.6,3.1,3.0,3.1,13.9,0.37,6.7%
Hume,DEF,4.5,92,3.3,3.1,2.8,2.3,2.3,13.9,0.62,0.2%
Wharton,MID,5.0,66,2.5,2.7,2.7,3.1,2.8,13.8,0.55,0.5%
Muniz,FWD,5.5,48,2.4,3.0,2.3,3.3,2.7,13.7,0.50,2.5%
Christie,MID,5.0,71,2.8,3.2,2.5,2.6,2.5,13.6,0.54,0.5%
Barnes,MID,6.5,54,2.9,2.7,2.9,2.8,2.4,13.5,0.42,0.6%
Carvalho,MID,5.0,55,2.8,2.8,2.9,2.5,2.5,13.5,0.54,0.3%
Robinson,DEF,5.0,41,1.5,2.3,2.3,3.8,3.6,13.4,0.54,6.3%
Flemming,FWD,5.5,63,2.7,3.4,2.5,2.4,2.4,13.4,0.49,0.2%
Foden,MID,8.0,35,2.3,2.8,2.7,3.4,2.2,13.4,0.33,3.1%
Henderson,MID,5.0,74,2.9,3.0,2.8,2.4,2.2,13.3,0.53,0.4%
Pau,DEF,4.5,73,2.6,2.6,2.8,2.3,3.1,13.3,0.59,0.5%
Toti,DEF,4.5,91,2.3,2.7,3.0,2.2,3.2,13.3,0.59,0.2%
Guessand,MID,6.5,35,2.2,2.5,2.7,2.5,3.4,13.3,0.41,0.0%
Smith Rowe,MID,6.0,65,2.8,2.9,2.2,2.8,2.7,13.3,0.44,1.2%
Tete,DEF,4.5,66,2.5,2.8,2.1,3.1,2.6,13.2,0.58,0.2%
Bogle,DEF,4.5,87,3.4,1.7,2.7,2.5,2.7,13.1,0.58,0.6%
Stach,MID,5.0,73,2.9,2.5,2.4,2.5,2.8,13.0,0.52,0.2%
Rodon,DEF,4.0,91,3.2,2.0,2.5,2.5,2.7,12.9,0.65,1.8%
Livramento,DEF,5.0,72,2.3,2.2,2.8,3.1,2.5,12.9,0.52,4.1%
Lewis-Potter,DEF,5.0,69,2.7,2.6,3.2,2.2,2.1,12.8,0.51,0.5%
Reinildo,DEF,4.0,88,2.9,2.8,2.6,2.2,2.2,12.8,0.64,7.9%
Sangaré,MID,5.0,69,2.8,2.6,2.7,2.3,2.4,12.8,0.51,0.1%
McGinn,MID,5.5,54,2.6,2.4,2.8,2.3,2.7,12.8,0.46,0.6%
N.Jackson,FWD,6.5,0,0.0,3.2,3.4,3.0,3.0,12.6,0.39,0.1%
Amad,MID,6.5,56,2.3,2.8,3.0,2.1,2.4,12.6,0.39,3.6%
Yoro,DEF,4.5,76,2.3,2.7,3.3,1.8,2.4,12.5,0.56,1.2%
Talbi,MID,5.0,61,2.9,2.5,2.5,2.2,2.4,12.5,0.50,0.2%
Ward-Prowse,MID,6.0,60,2.9,2.3,2.3,2.5,2.5,12.5,0.42,0.4%
Gudmundsson,DEF,4.0,81,3.2,1.6,2.5,2.4,2.7,12.4,0.62,2.3%
Bergvall,MID,5.5,62,3.0,2.0,2.7,2.4,2.4,12.4,0.45,0.2%
Johnson,MID,7.0,46,3.0,2.1,2.5,2.5,2.2,12.2,0.35,3.6%
Fofana,DEF,4.5,43,1.8,2.1,3.1,2.7,2.4,12.2,0.54,0.3%
Walker,DEF,4.5,86,2.1,3.6,2.1,1.7,2.6,12.2,0.54,2.1%
Havertz,FWD,7.5,39,2.2,2.9,2.1,2.7,2.2,12.1,0.32,1.3%
Henry,DEF,4.5,74,2.4,2.3,3.0,2.0,2.2,11.9,0.53,0.2%
Gravenberch,MID,5.5,0,0.0,3.0,2.9,3.1,3.0,11.9,0.43,0.1%
Yarmoliuk,MID,5.0,68,2.6,2.5,2.5,2.1,2.0,11.8,0.47,0.1%
Garner,MID,5.0,65,2.6,2.4,2.3,2.4,2.1,11.8,0.47,0.1%
Berge,MID,5.0,72,2.4,2.3,2.2,2.3,2.4,11.7,0.47,0.1%
Dunk,DEF,4.5,68,2.7,2.3,1.9,2.4,2.3,11.7,0.52,1.1%
Tuanzebe,DEF,4.0,79,2.2,3.3,2.0,1.8,2.4,11.6,0.58,3.3%
Chalobah,DEF,5.0,65,3.0,2.6,2.3,2.0,1.8,11.6,0.46,0.9%
J.Ramsey,MID,5.5,41,2.1,2.2,2.6,2.1,2.5,11.6,0.42,0.6%
Martinelli,MID,7.0,53,2.9,2.8,2.0,2.0,1.9,11.6,0.33,1.4%
Hartman,DEF,4.0,71,2.1,3.4,2.0,1.6,2.4,11.5,0.58,0.4%
Barry,FWD,6.0,40,2.2,2.4,2.3,2.5,2.1,11.5,0.38,1.0%
Ugochukwu,MID,5.0,71,2.3,2.6,2.1,2.1,2.3,11.4,0.46,0.0%
Gnonto,MID,5.5,58,2.8,2.0,2.2,2.0,2.4,11.4,0.42,0.6%
Armando Broja,FWD,99.9,39,1.8,2.8,2.1,2.2,2.5,11.4,0.02,0.0%
Andreas,MID,5.5,36,1.8,2.5,1.9,2.6,2.6,11.4,0.41,0.5%
Mayenda,FWD,5.5,57,2.8,2.3,2.4,1.9,1.9,11.3,0.41,0.4%
Diarra,MID,5.5,60,2.4,2.3,2.4,2.1,2.1,11.3,0.41,0.1%
Richarlison,FWD,6.5,36,2.4,1.7,2.4,2.5,2.1,11.2,0.34,1.1%
Doherty,DEF,4.5,66,1.9,2.1,2.6,1.8,2.8,11.1,0.49,0.2%
Digne,DEF,4.5,49,2.1,1.9,2.4,2.0,2.4,10.8,0.48,1.8%
Walker-Peters,DEF,4.5,59,2.4,1.9,2.0,2.3,2.2,10.8,0.48,0.5%
Gündoğan,MID,6.5,49,2.5,2.6,2.2,2.0,1.5,10.8,0.33,0.2%
Maatsen,DEF,4.5,47,2.0,2.2,2.3,2.0,2.3,10.8,0.48,0.9%
White,DEF,5.5,57,2.4,2.9,1.5,2.3,1.6,10.8,0.39,0.9%
J.Timber,DEF,5.5,43,1.8,2.6,1.7,2.5,2.2,10.7,0.39,2.3%
Longstaff,MID,5.0,62,2.3,1.9,2.2,2.1,2.2,10.7,0.43,0.3%
Diouf,DEF,4.5,60,3.0,2.1,2.0,1.7,1.9,10.7,0.47,4.4%
Kamada,MID,5.0,46,1.9,2.2,2.0,2.5,2.0,10.6,0.43,0.1%
Adams,MID,5.0,82,2.8,3.0,1.5,1.6,1.6,10.4,0.42,0.2%
Odobert,MID,5.5,43,2.5,1.6,2.0,2.1,2.1,10.3,0.38,0.1%
Dalot,DEF,4.5,58,1.7,2.1,2.9,1.6,2.1,10.3,0.46,2.6%
Tanaka,MID,5.0,64,2.3,1.9,2.1,1.9,2.0,10.2,0.41,0.4%
Mavropanos,DEF,4.5,46,2.1,1.9,1.9,2.0,2.2,10.2,0.45,0.1%
Smith,DEF,4.5,69,1.4,2.5,1.8,2.3,2.0,10.1,0.45,0.2%
Bellegarde,MID,5.5,40,1.8,1.9,2.0,2.0,2.3,10.1,0.37,0.1%
Doku,MID,6.5,36,2.1,2.2,1.9,2.1,1.8,10.1,0.31,1.2%
Ampadu,MID,5.0,64,2.2,1.9,1.9,2.1,2.0,10.0,0.40,0.1%
J.Palhinha,MID,5.5,42,1.7,1.8,2.1,2.1,2.1,9.8,0.36,0.2%
Rodrigo,MID,6.5,12,0.3,1.1,2.0,3.2,3.2,9.8,0.30,1.4%
J.Murphy,MID,6.5,40,1.9,1.9,2.2,2.0,1.8,9.8,0.30,2.9%
Sessegnon,MID,5.5,58,2.4,2.1,1.8,1.7,1.7,9.7,0.35,0.1%
Bijol,DEF,4.0,0,0.0,2.0,2.5,2.4,2.8,9.7,0.48,0.2%
Gittens,MID,6.5,38,2.4,1.7,2.2,1.8,1.7,9.7,0.30,0.3%
Trossard,MID,7.0,17,1.0,2.0,1.9,2.5,2.1,9.6,0.28,1.5%
Kayode,DEF,4.5,59,2.1,2.1,2.2,1.6,1.6,9.6,0.43,0.3%
Hannibal,MID,5.0,47,1.9,2.2,1.7,1.9,1.8,9.5,0.38,0.2%
Udogie,DEF,4.5,50,2.5,1.4,2.2,1.8,1.5,9.5,0.42,6.4%
David Møller Wolfe,DEF,99.9,65,1.6,1.8,2.2,1.5,2.4,9.4,0.02,0.0%
Hinshelwood,MID,5.5,46,2.0,1.9,1.8,1.9,1.8,9.3,0.34,0.2%
Wilson,FWD,6.0,32,2.0,1.8,1.6,2.1,1.8,9.3,0.31,0.3%
C.Jones,MID,5.5,51,2.7,1.4,1.5,1.9,1.7,9.3,0.34,0.1%
Ayari,MID,5.0,37,1.8,1.7,1.9,1.8,1.8,9.0,0.36,0.3%
Matheus N.,DEF,5.5,43,2.1,2.1,1.8,1.8,1.2,9.0,0.33,0.6%
O.Dango,MID,6.0,29,1.3,2.1,1.6,2.1,1.8,8.9,0.30,0.2%
Yates,MID,5.0,36,1.6,1.8,1.8,1.6,2.1,8.9,0.36,0.2%
Estêvão,MID,6.5,30,1.9,1.5,1.7,1.8,1.9,8.9,0.27,1.5%
Adama,MID,5.5,30,1.5,1.8,1.5,2.0,1.9,8.8,0.32,0.3%
Spence,DEF,4.5,47,2.3,1.1,2.1,1.8,1.5,8.7,0.39,0.6%
F.Kadıoğlu,DEF,4.5,43,2.0,1.8,1.7,1.5,1.8,8.7,0.39,0.3%
Mainoo,MID,5.0,46,1.7,1.9,1.8,1.6,1.6,8.7,0.35,0.9%
Cherki,MID,6.5,25,1.7,1.9,1.8,1.9,1.3,8.6,0.26,8.4%
Cook,MID,5.0,0,0.0,0.0,2.8,3.0,2.7,8.5,0.34,0.0%
Mosquera,DEF,4.5,44,1.3,1.7,2.0,1.5,2.0,8.5,0.38,0.1%
Nmecha,FWD,5.0,29,1.7,1.6,1.7,1.7,1.8,8.4,0.34,0.6%
Maguire,DEF,4.5,51,1.7,1.9,1.9,1.4,1.4,8.3,0.37,0.6%
Sadiki,MID,5.0,40,1.6,1.7,1.8,1.6,1.6,8.2,0.33,0.1%
Tosin,DEF,4.5,50,2.3,1.7,1.6,1.4,1.1,8.2,0.36,0.5%
Bruun Larsen,MID,5.5,35,1.7,2.1,1.4,1.5,1.5,8.1,0.30,0.1%
S.Bueno,DEF,4.5,42,1.1,1.6,1.9,1.4,2.1,8.1,0.36,0.1%
Ugarte,MID,5.0,38,1.4,1.6,1.9,1.4,1.6,8.0,0.32,0.2%
Jensen,MID,5.0,33,1.5,1.7,1.9,1.4,1.5,8.0,0.32,0.1%
Lerma,MID,5.0,36,1.3,1.6,1.5,1.8,1.7,7.9,0.32,0.1%
Hoever,DEF,4.0,42,1.4,1.4,1.6,1.4,2.1,7.9,0.40,2.7%
Madueke,MID,7.0,22,1.5,1.7,1.2,1.8,1.6,7.8,0.22,1.5%
Savinho,MID,7.0,27,1.7,1.6,1.5,1.8,1.2,7.8,0.22,1.8%
Seelt,DEF,4.0,64,2.2,2.2,2.0,1.1,0.3,7.8,0.39,0.4%
Gusto,DEF,5.0,30,1.5,1.6,1.6,1.6,1.5,7.8,0.31,2.2%
Mazraoui,DEF,5.0,37,1.3,1.5,2.2,1.1,1.5,7.6,0.30,1.1%
Aaronson,MID,5.5,29,1.5,1.3,1.6,1.7,1.5,7.6,0.27,0.1%
Hickey,DEF,4.0,32,1.1,1.0,1.8,1.7,1.8,7.5,0.37,0.7%
Onana,MID,5.0,30,1.3,1.4,1.7,1.5,1.6,7.4,0.30,1.6%
Roberts,MID,5.5,27,1.5,1.5,1.7,1.3,1.3,7.3,0.27,0.1%
Osula,FWD,5.5,53,2.7,1.7,1.3,1.0,0.6,7.3,0.27,0.2%
Coppola,DEF,4.5,31,1.4,1.6,1.1,1.6,1.6,7.3,0.32,0.1%
N.Gonzalez,MID,6.0,52,2.2,2.1,1.5,1.0,0.4,7.3,0.24,0.1%
H.Traorè,MID,4.5,34,1.5,1.9,1.1,1.5,1.2,7.2,0.32,0.3%
Hughes,MID,5.0,32,1.2,1.5,1.3,1.7,1.4,7.1,0.29,0.1%
O'Riley,MID,5.5,23,1.5,1.4,1.5,1.2,1.6,7.1,0.26,0.2%
P.M.Sarr,MID,5.0,37,1.8,1.3,1.6,1.2,1.2,7.1,0.28,2.2%
Jota,MID,5.5,21,1.3,1.4,1.6,1.3,1.5,7.1,0.26,0.1%
Delap,FWD,6.5,33,2.2,1.1,1.3,1.2,1.2,7.1,0.22,4.6%
L.Guilherme,MID,5.0,28,1.5,1.4,1.5,1.3,1.2,7.0,0.28,0.1%
Casemiro,MID,5.5,31,1.4,1.5,1.3,1.3,1.4,6.9,0.25,0.2%
Patterson,DEF,4.5,27,1.2,1.4,1.5,1.7,1.1,6.9,0.31,0.2%
Boscagli,DEF,4.5,33,1.5,1.3,1.2,1.5,1.5,6.9,0.31,0.2%
Gruda,MID,5.5,26,1.6,1.4,1.3,1.1,1.4,6.8,0.25,0.1%
Trippier,DEF,5.0,29,1.2,1.2,1.5,1.7,1.3,6.8,0.27,1.6%
